9927417	gpuInfo.findElements is not a function
36464432	gpuInfo.findElements is not a function
34306892	gpuInfo.findElements is not a function
27826507	gpuInfo.findElements is not a function
2142608	gpuInfo.findElements is not a function
725747	gpuInfo.findElements is not a function
15339901	gpuInfo.findElements is not a function
17349249	gpuInfo.findElements is not a function
41139420	gpuInfo.findElements is not a function
40046836	gpuInfo.findElements is not a function
16100362	gpuInfo.findElements is not a function
36669770	gpuInfo.findElements is not a function
22312090	gpuInfo.findElements is not a function
14908704	gpuInfo.findElements is not a function
5990011	gpuInfo.findElements is not a function
34745867	gpuInfo.findElements is not a function
1747094	gpuInfo.findElements is not a function
2676484	gpuInfo.findElements is not a function
39823421	gpuInfo.findElements is not a function
41499015	gpuInfo.findElements is not a function
34028214	gpuInfo.findElements is not a function
32005528	gpuInfo.findElements is not a function
40564186	gpuInfo.findElements is not a function
5637459	gpuInfo.findElements is not a function
23984035	gpuInfo.findElements is not a function
27580007	gpuInfo.findElements is not a function
41994902	gpuInfo.findElements is not a function
37441625	gpuInfo.findElements is not a function
32581427	gpuInfo.findElements is not a function
41388947	gpuInfo.findElements is not a function
14718960	gpuInfo.findElements is not a function
34507966	gpuInfo.findElements is not a function
5798657	gpuInfo.findElements is not a function
14948677	gpuInfo.findElements is not a function
18483697	gpuInfo.findElements is not a function
32714192	gpuInfo.findElements is not a function
40131556	gpuInfo.findElements is not a function
39756392	gpuInfo.findElements is not a function
34240454	gpuInfo.findElements is not a function
14958377	gpuInfo.findElements is not a function
14710928	gpuInfo.findElements is not a function
12804982	gpuInfo.findElements is not a function
30718639	gpuInfo.findElements is not a function
24355000	gpuInfo.findElements is not a function
17313839	gpuInfo.findElements is not a function
26413084	gpuInfo.findElements is not a function
40142131	gpuInfo.findElements is not a function
18585667	gpuInfo.findElements is not a function
8970693	gpuInfo.findElements is not a function
25669170	gpuInfo.findElements is not a function
37864733	gpuInfo.findElements is not a function
15627506	gpuInfo.findElements is not a function
16592910	gpuInfo.findElements is not a function
15114529	gpuInfo.findElements is not a function
15040851	gpuInfo.findElements is not a function
8684141	gpuInfo.findElements is not a function
42040240	gpuInfo.findElements is not a function
27276995	gpuInfo.findElements is not a function
32992694	gpuInfo.findElements is not a function
39896716	gpuInfo.findElements is not a function
32549857	gpuInfo.findElements is not a function
15320496	gpuInfo.findElements is not a function
42416509	gpuInfo.findElements is not a function
27276075	gpuInfo.findElements is not a function
34381186	gpuInfo.findElements is not a function
24656194	gpuInfo.findElements is not a function
3857317	gpuInfo.findElements is not a function
39971550	gpuInfo.findElements is not a function
18578091	gpuInfo.findElements is not a function
35397426	gpuInfo.findElements is not a function
15614862	gpuInfo.findElements is not a function
32910795	gpuInfo.findElements is not a function
13293713	gpuInfo.findElements is not a function
23500249	gpuInfo.findElements is not a function
15030787	gpuInfo.findElements is not a function
42571410	Cannot read properties of undefined (reading 'replace')
36795363	Cannot read properties of undefined (reading 'replace')
39308217	Cannot read properties of undefined (reading 'replace')
23551921	gpuInfo.findElements is not a function
15730961	gpuInfo.findElements is not a function
15057463	gpuInfo.findElements is not a function
42292587	gpuInfo.findElements is not a function
18494634	gpuInfo.findElements is not a function
36782946	gpuInfo.findElements is not a function
18735609	gpuInfo.findElements is not a function
11816648	gpuInfo.findElements is not a function
39715574	Cannot read properties of undefined (reading 'replace')
14795392	gpuInfo.findElements is not a function
15077223	gpuInfo.findElements is not a function
28093291	gpuInfo.findElements is not a function
15482368	gpuInfo.findElements is not a function
10115233	gpuInfo.findElements is not a function
40703652	gpuInfo.findElements is not a function
27974564	gpuInfo.findElements is not a function
9060678	gpuInfo.findElements is not a function
42081807	gpuInfo.findElements is not a function
26369817	gpuInfo.findElements is not a function
14775439	gpuInfo.findElements is not a function
21640232	gpuInfo.findElements is not a function
43003032	Cannot read properties of undefined (reading 'replace')
40366564	gpuInfo.findElements is not a function
42831188	Cannot read properties of undefined (reading 'replace')
22541615	gpuInfo.findElements is not a function
25815635	gpuInfo.findElements is not a function
42359478	gpuInfo.findElements is not a function
40410870	Cannot read properties of undefined (reading 'replace')
21037204	gpuInfo.findElements is not a function
4715930	gpuInfo.findElements is not a function
5769211	gpuInfo.findElements is not a function
18973748	gpuInfo.findElements is not a function
918133	gpuInfo.findElements is not a function
42369721	gpuInfo.findElements is not a function
33327124	gpuInfo.findElements is not a function
41511887	Cannot read properties of undefined (reading 'replace')
21661958	gpuInfo.findElements is not a function
39777912	gpuInfo.findElements is not a function
24752940	gpuInfo.findElements is not a function
42616204	gpuInfo.findElements is not a function
38335970	gpuInfo.findElements is not a function
40286909	gpuInfo.findElements is not a function
15383574	gpuInfo.findElements is not a function
35279921	gpuInfo.findElements is not a function
7732746	gpuInfo.findElements is not a function
43024603	Cannot read properties of undefined (reading 'replace')
31820693	gpuInfo.findElements is not a function
2307839	gpuInfo.findElements is not a function
40187680	gpuInfo.findElements is not a function
8631315	gpuInfo.findElements is not a function
42726806	gpuInfo.findElements is not a function
28084638	gpuInfo.findElements is not a function
26911196	gpuInfo.findElements is not a function
39809203	gpuInfo.findElements is not a function
14228785	gpuInfo.findElements is not a function
27765525	gpuInfo.findElements is not a function
162802	gpuInfo.findElements is not a function
15885496	gpuInfo.findElements is not a function
26648307	gpuInfo.findElements is not a function
35506198	gpuInfo.findElements is not a function
10190668	gpuInfo.findElements is not a function
37587874	gpuInfo.findElements is not a function
31039211	gpuInfo.findElements is not a function
32690766	gpuInfo.findElements is not a function
14985986	gpuInfo.findElements is not a function
1221625	gpuInfo.findElements is not a function
28101955	gpuInfo.findElements is not a function
28627366	gpuInfo.findElements is not a function
42536217	gpuInfo.findElements is not a function
18019729	gpuInfo.findElements is not a function
7048214	gpuInfo.findElements is not a function
25268364	gpuInfo.findElements is not a function
42476949	Cannot read properties of undefined (reading 'replace')
5146536	gpuInfo.findElements is not a function
15378688	gpuInfo.findElements is not a function
7451527	gpuInfo.findElements is not a function
31123256	gpuInfo.findElements is not a function
24031120	gpuInfo.findElements is not a function
39474765	Cannot read properties of undefined (reading 'replace')
38166519	gpuInfo.findElements is not a function
31379190	gpuInfo.findElements is not a function
15221268	gpuInfo.findElements is not a function
23720496	gpuInfo.findElements is not a function
25681182	gpuInfo.findElements is not a function
22505113	gpuInfo.findElements is not a function
10193683	gpuInfo.findElements is not a function
162661	gpuInfo.findElements is not a function
15361925	gpuInfo.findElements is not a function
29975008	gpuInfo.findElements is not a function
33127553	gpuInfo.findElements is not a function
15999213	gpuInfo.findElements is not a function
38558576	gpuInfo.findElements is not a function
34826768	gpuInfo.findElements is not a function
38386393	gpuInfo.findElements is not a function
15623582	gpuInfo.findElements is not a function
17883405	gpuInfo.findElements is not a function
27585229	gpuInfo.findElements is not a function
42773494	Cannot read properties of undefined (reading 'replace')
39462630	Cannot read properties of undefined (reading 'replace')
34151247	gpuInfo.findElements is not a function
837828	gpuInfo.findElements is not a function
